game_id,game_date,season,game_type,home_team_id,away_team_id,home_team,away_team,home_runs,away_runs,home_won,total_runs,margin,is_reds_game,home_wins,home_losses,away_wins,away_losses,roll5_home_runs,roll5_away_runs,roll5_total,roll5_margin,roll10_home_runs,roll10_away_runs,roll10_total,roll10_margin,ewm5_home_runs,ewm5_total,ewm5_margin,home_win_streak,scoring_trend,home_win_pct,away_win_pct,win_pct_diff
718765,2023-03-31,2023,R,119,109,Los Angeles Dodgers,Arizona Diamondbacks,1,2,0,3,-1,0,1,1,1,1,4.2,3.8,8.0,0.4,3.3,3.5,6.8,-0.2,3.318008575156395,8.079810436195054,-1.4437932858822617,0,0.40000000000000036,0.5,0.5,0.0
718753,2023-04-01,2023,R,120,144,Washington Nationals,Atlanta Braves,1,7,0,8,-6,0,0,2,2,0,2.8,3.8,6.6,-1.0,3.1,3.2,6.3,-0.1,2.5451066163340132,6.3860309227535925,-1.2958176900855645,0,-0.8000000000000003,0.0,1.0,-1.0
718757,2023-04-01,2023,R,133,108,Oakland Athletics,Los Angeles Angels,1,13,0,14,-12,0,1,1,1,1,1.8,4.6,6.4,-2.8,3.0,3.6,6.6,-0.6,2.029967799552014,6.924128496077115,-2.8641928969730865,0,-1.133333333333333,0.5,0.5,0.0
718760,2023-04-01,2023,R,117,145,Houston Astros,Chicago White Sox,6,4,1,10,2,0,2,1,1,2,1.6,7.0,8.6,-5.4,2.9,4.2,7.1,-1.3,1.6865993060360627,9.28306761987421,-5.909869007802085,0,-1.1333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
718759,2023-04-01,2023,R,138,141,St. Louis Cardinals,Toronto Blue Jays,4,1,1,5,3,0,1,1,1,1,2.6,7.0,9.6,-4.4,3.3,4.5,7.8,-1.2,3.1245276636589776,9.522066375849647,-3.2730110485316923,1,-0.19999999999999973,0.5,0.5,0.0
718758,2023-04-01,2023,R,112,158,Chicago Cubs,Milwaukee Brewers,1,3,0,4,-2,0,1,1,1,1,2.6,5.4,8.0,-2.8,3.4,4.6,8.0,-1.2,3.4163691120862647,8.014621370187902,-1.1818831460153727,2,-0.4666666666666668,0.5,0.5,0.0
718752,2023-04-01,2023,R,140,143,Texas Rangers,Philadelphia Phillies,16,3,1,19,13,0,2,0,0,2,2.6,5.6,8.2,-3.0,2.7,4.7,7.4,-2.0,2.610880842341248,6.676361248843255,-1.4545995641607592,0,-0.33333333333333304,1.0,0.0,1.0
718756,2023-04-01,2023,R,113,134,Cincinnati Reds,Pittsburgh Pirates,6,2,1,8,4,1,1,1,1,1,5.6,4.8,10.4,0.8,3.7,4.7,8.4,-1.0,7.074038395252089,10.78434928927442,3.363727501229756,1,1.733333333333333,0.5,0.5,0.0
718762,2023-04-01,2023,R,147,137,New York Yankees,San Francisco Giants,5,7,0,12,-2,0,1,1,1,1,6.6,2.6,9.2,4.0,4.1,4.8,8.9,-0.7,6.716019295359956,9.856216523501779,3.5758220672181307,2,2.466666666666666,0.5,0.5,0.0
718751,2023-04-01,2023,R,118,142,Kansas City Royals,Minnesota Twins,0,2,0,2,-2,0,0,2,2,0,6.4,3.2,9.6,3.2,4.5,5.1,9.6,-0.6,6.1440061515917455,10.570819400792193,1.7171929023912968,0,2.0666666666666673,0.0,1.0,-1.0
718755,2023-04-01,2023,R,146,121,Miami Marlins,New York Mets,2,6,0,8,-4,0,1,2,2,1,5.6,3.4,9.0,2.2,4.1,4.4,8.5,-0.3,4.0959880801478015,7.713857251534381,0.4781189087612205,0,1.466666666666666,0.3333333333333333,0.6666666666666666,-0.3333333333333333
718750,2023-04-01,2023,R,135,115,San Diego Padres,Colorado Rockies,8,4,1,12,4,0,1,2,2,1,5.8,4.0,9.8,1.8,4.2,4.8,9.0,-0.6,3.397321743153845,7.809238665112725,-1.0145951788050365,0,2.0666666666666664,0.3333333333333333,0.6666666666666666,-0.3333333333333333
718749,2023-04-01,2023,R,119,109,Los Angeles Dodgers,Arizona Diamondbacks,10,1,1,11,9,0,2,1,1,2,4.2,4.2,8.4,0.0,4.9,4.5,9.4,0.4,4.931553162877686,9.206163966807301,0.656942358948069,1,0.3333333333333335,0.6666666666666666,0.3333333333333333,0.3333333333333333
718746,2023-04-01,2023,R,136,114,Seattle Mariners,Cleveland Guardians,0,2,0,2,-2,0,1,2,2,1,5.0,4.0,9.0,1.0,5.8,3.3,9.1,2.5,6.6210393578433875,9.804110697137771,3.437968018549003,2,0.5999999999999996,0.3333333333333333,0.6666666666666666,-0.3333333333333333
718754,2023-04-01,2023,R,139,116,Tampa Bay Rays,Detroit Tigers,12,2,1,14,10,0,2,0,0,2,4.0,3.0,7.0,1.0,5.2,3.1,8.3,2.1,4.4140228282508565,7.202736445080296,1.6253092114214174,0,-0.33333333333333304,1.0,0.0,1.0
718761,2023-04-01,2023,R,111,110,Boston Red Sox,Baltimore Orioles,9,8,1,17,1,0,1,1,1,1,6.4,3.0,9.4,3.4,6.0,3.2,9.2,2.8,6.9426844903817395,9.468493297438686,4.416875683324795,1,1.533333333333334,0.5,0.5,0.0
718737,2023-04-02,2023,R,138,141,St. Louis Cardinals,Toronto Blue Jays,9,4,1,13,5,0,2,1,1,2,7.8,3.4,11.2,4.4,6.8,3.7,10.5,3.1,7.628456797883169,11.978997255743225,3.2779163400231166,2,2.3999999999999995,0.6666666666666666,0.3333333333333333,0.3333333333333333
718745,2023-04-02,2023,R,118,142,Kansas City Royals,Minnesota Twins,4,7,0,11,-3,0,0,3,3,0,8.0,3.4,11.4,4.6,6.1,3.8,9.9,2.3,8.085638074571776,12.319331659647858,3.851944489495695,3,2.0666666666666664,0.0,1.0,-1.0
718742,2023-04-02,2023,R,139,116,Tampa Bay Rays,Detroit Tigers,5,1,1,6,4,0,3,0,0,3,6.8,4.6,11.4,2.2,5.9,4.3,10.2,1.6,6.72375830069826,11.879554305533171,1.5679622958633483,0,0.6666666666666661,1.0,0.0,1.0
718748,2023-04-02,2023,R,111,110,Boston Red Sox,Baltimore Orioles,9,5,1,14,4,0,2,1,1,2,7.8,4.4,12.2,3.4,5.9,3.7,9.6,2.2,6.1491720835458965,9.919702471555222,2.37864169553657,1,1.7333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333
718743,2023-04-02,2023,R,120,144,Washington Nationals,Atlanta Braves,4,1,1,5,3,0,1,2,2,1,7.2,5.0,12.2,2.2,6.8,4.0,10.8,2.8,7.099448184608479,11.279801832209925,2.919094537007036,2,0.7999999999999998,0.3333333333333333,0.6666666666666666,-0.3333333333333333
718747,2023-04-02,2023,R,147,137,New York Yankees,San Francisco Giants,6,0,1,6,6,0,2,1,1,2,6.2,3.6,9.8,2.6,7.0,3.5,10.5,3.5,6.066298696303295,9.186534365496266,2.946063027110326,3,-0.39999999999999947,0.6666666666666666,0.3333333333333333,0.3333333333333333
